record started at: 10-08-19 04:43:02

file format version: 4
captureMode: Offline
eye resolution: 320x240 
scene resolution: 640x480
recordFrameCount sceneFrameCount avg_fps sceneQTtime(d:h:m:s.tv/ts) porQTtime(d:h:m:s.tv/ts) porX porY pupilX pupilY cornealRefX cornealRefY diameterW diameterH
3909 3909 29.96 0:00:02:10.288/600 0:00:02:10.268/600 226.56 382.60 215.42 141.69 -1000.00 -1000.00 35.00 40.00 
3910 3910 29.96 0:00:02:10.308/600 0:00:02:10.288/600 218.12 376.90 217.53 140.21 -1000.00 -1000.00 38.00 43.00 
3911 3911 29.96 0:00:02:10.328/600 0:00:02:10.308/600 209.95 371.62 219.56 138.85 -1000.00 -1000.00 37.00 42.00 
3912 3912 29.96 0:00:02:10.348/600 0:00:02:10.328/600 201.96 366.70 221.55 137.58 -1000.00 -1000.00 38.00 44.00 
3913 3913 29.96 0:00:02:10.368/600 0:00:02:10.348/600 202.11 362.57 221.36 136.57 -1000.00 -1000.00 37.00 44.00 
3914 3914 29.96 0:00:02:10.388/600 0:00:02:10.368/600 205.70 358.68 220.24 135.64 -1000.00 -1000.00 38.00 45.00 
3915 3915 29.96 0:00:02:10.408/600 0:00:02:10.388/600 208.55 355.52 219.35 134.88 -1000.00 -1000.00 40.00 46.00 
3916 3916 29.96 0:00:02:10.428/600 0:00:02:10.408/600 210.58 353.02 218.70 134.28 -1000.00 -1000.00 39.00 45.00 
3917 3917 29.96 0:00:02:10.448/600 0:00:02:10.428/600 212.81 350.45 218.00 133.67 -1000.00 -1000.00 37.00 45.00 
3918 3918 29.96 0:00:02:10.468/600 0:00:02:10.448/600 215.78 348.06 217.11 133.10 -1000.00 -1000.00 37.00 46.00 
3919 3919 29.96 0:00:02:10.488/600 0:00:02:10.468/600 217.84 346.46 216.49 132.73 -1000.00 -1000.00 38.00 45.00 
3920 3920 29.96 0:00:02:10.508/600 0:00:02:10.488/600 219.43 345.48 216.02 132.50 -1000.00 -1000.00 37.00 46.00 
3921 3921 29.96 0:00:02:10.528/600 0:00:02:10.508/600 220.12 345.88 215.84 132.60 -1000.00 -1000.00 38.00 46.00 
3922 3922 29.96 0:00:02:10.548/600 0:00:02:10.528/600 219.93 347.51 215.95 133.00 -1000.00 -1000.00 39.00 47.00 
3923 3923 29.96 0:00:02:10.568/600 0:00:02:10.548/600 220.03 349.37 216.00 133.45 -1000.00 -1000.00 41.00 48.00 
3924 3924 29.96 0:00:02:10.588/600 0:00:02:10.568/600 220.17 351.39 216.03 133.95 -1000.00 -1000.00 41.00 47.00 
3925 3925 29.96 0:00:02:11.08/600 0:00:02:10.588/600 220.22 353.28 216.09 134.41 -1000.00 -1000.00 41.00 47.00 
3926 3926 29.96 0:00:02:11.28/600 0:00:02:11.08/600 227.35 356.57 214.26 135.27 -1000.00 -1000.00 35.00 44.00 
3927 3927 29.96 0:00:02:11.48/600 0:00:02:11.28/600 235.77 360.21 212.08 136.22 -1000.00 -1000.00 35.00 42.00 
3928 3928 29.96 0:00:02:11.68/600 0:00:02:11.48/600 244.45 364.11 209.84 137.25 -1000.00 -1000.00 35.00 43.00 
